To,From,Reason for Dishing,Date,Room
chuygarcia.eth#6692,chuygarcia.eth#6692,for being scam flamethrower masters 🔥,Jan-20-2022,🙏｜praise
Juankbell#7458,chuygarcia.eth#6692,for being scam flamethrower masters 🔥,Jan-20-2022,🙏｜praise
mafer_cordovas#1034,natesuits#4789,for meeting with me and guiding me with Hubspot plans!,Jan-20-2022,🙏｜praise
Zeptimus#3359,Ratio13#0578,"for accepting, explaining, hosting AND the entire TEC community.",Jan-20-2022,🙏｜praise
eduardovegap#0422,Ratio13#0578,"for accepting, explaining, hosting AND the entire TEC community.",Jan-20-2022,🙏｜praise
Tam2140#9361,Ratio13#0578,"for accepting, explaining, hosting AND the entire TEC community.",Jan-20-2022,🙏｜praise
iviangita#3204,Ratio13#0578,"for accepting, explaining, hosting AND the entire TEC community.",Jan-20-2022,🙏｜praise
Mert Ozd#6679,natesuits#4789,for really becoming a leader within the TEC with your involvement with the Proposal Inverter and the Omega Working Group!,Jan-20-2022,🙏｜praise
Jeremy&TheGospelOfChange#8201,bends#3537,for expressing their contagious enthusiasm on the community call!,Jan-20-2022,🙏｜praise
ygg_anderson#4998,Juankbell#7458,for stewarding the proposal inverter as one game changing  development for DAO2DAO 🙌,Jan-20-2022,🙏｜praise
ygg_anderson#4998,Juankbell#7458,for walking in a beautiful beach with his dog during the Community call,Jan-20-2022,🙏｜praise
Ratio13#0578,Zeptimus#3359,for joining strong on transparency 🙏,Jan-20-2022,🙏｜praise
acidlazzer#5796,Zeptimus#3359,for taking care and supporting twitter,Jan-20-2022,🙏｜praise
heater#9765,ygg_anderson#4998,for such epic presentations at the TEA X TEC Introduction to token engineering!,Jan-20-2022,🙏｜praise
Juankbell#7458,ygg_anderson#4998,for such epic presentations at the TEA X TEC Introduction to token engineering!,Jan-20-2022,🙏｜praise
Rohekbenitez#8753,chuygarcia.eth#6692,"not only for the social fridays graphic, but for being an amazing contributor to these 3 communities <a:jump_bee:766086726778748938> <:TEC:835016327542210560> 🐙",Jan-20-2022,🙏｜praise
kristofer#1475,vangelis#4349,"for contributing to my research on Blockchain and the commons by helping me understand a number of issues related to the TEC commons such as praise quantification, members classification, website infrastructure, levels of finance and many more",Jan-21-2022,🙏｜praise
PabloA#7958,iviangita#3204,for another round of review and feedbacks on the T&Cs of CV proposal submission,Jan-21-2022,🙏｜praise
ZER8🧠#9093,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
Mert Ozd#6679,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
"russlive215 (🧙🏾, 🧙🏾)︱40ACRES#8460",freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
gerlindgrosse#5619,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
innov8tor3#3988,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
Pronoia🐙🦘#2154,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
T-Rossi#1714,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
mafer_cordovas#1034,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
Lin#3884,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
DJBritStar#9267,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
Rohekbenitez#8753,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
MS#4235,freshelle#9882,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,Jan-21-2022,🙏｜praise
Zeptimus#3359,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
danlessa#2831,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
sem  🐝#0161,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
anna-marie#8824,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
Mount Manu#3530,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
liviade#1387,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
acidlazzer#5796,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
akrtws (TE Academy)#4246,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
Tam2140#9361,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-21-2022,🙏｜praise
graial#0787,metaverde#2503,for showing up for Lab today. So nice to have someone else working even when we aren't talking.,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for always hosting great retrospective calls (HOW DOES SHE DO IT!!?!?!>!?),Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for giving a TE Academy x TEC presentation to 50+ people via Zoom call,Jan-21-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for all their work getting the Commons Swarm sorted for the final launch,Jan-21-2022,🙏｜praise
elessar.eth#7945,Mount Manu#3530,for all their work getting the Commons Swarm sorted for the final launch,Jan-21-2022,🙏｜praise
bradleyc#3333,Mount Manu#3530,for all their work getting the Commons Swarm sorted for the final launch,Jan-21-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for all their work getting the Commons Swarm sorted for the final launch,Jan-21-2022,🙏｜praise
Vitor Marthendal#0090,Mount Manu#3530,for all their work getting the Commons Swarm sorted for the final launch,Jan-21-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for all their work getting the Commons Swarm sorted for the final launch,Jan-21-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for doing the extra testing needed to safeguard the launch of our Commons,Jan-21-2022,🙏｜praise
elessar.eth#7945,Mount Manu#3530,for doing the extra testing needed to safeguard the launch of our Commons,Jan-21-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for helping with Params-related issues,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for this week's Praise Dashboard Trial Quant event,Jan-21-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for this week's Praise Dashboard Trial Quant event,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,"for being the archive overlord, recording all the calls and uploading them to YouTube",Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for the work they did around Tweet planning & posting,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for the work they did around Tweet planning & posting,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for the work they did around Tweet planning & posting,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for showing others how to use Airtable in the context of Twitter management,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for representing the TEC in the TEA x TEC virtual conference,Jan-21-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for preparing the WG Weekly Updates every week,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for all the work he’s doing for all the T.E.A.M. teams,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
theoverarch#2871,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
MarioRozo#3294,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
Jeremy&TheGospelOfChange#8201,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
JonathanWein#4685,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
Ratio13#0578,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
"Christina, BorrowLucid#3036",Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
NomadChad#8883,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
tokenosopher#7900,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
Leen#8610,Mount Manu#3530,for attending our last Orientation call,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for the latest Praise Quant: you guys did an awesome job,Jan-21-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for the latest Praise Quant: you guys did an awesome job,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for the presentation he gave for the TEA x TEC event,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
solsista#5370,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
ygg_anderson#4998,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for leading our community forward as Stewards,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,"for the awesome work they’ve done around T.E.A.M. and Gravity, respectively",Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,"for the awesome work they’ve done around T.E.A.M. and Gravity, respectively",Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for your steadfastness,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for your steadfastness,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for seeming like an endless fountain of enthusiasm on every call (no one knows how he does it),Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for being the emotional core of the TEC,Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,because the thrill of seeing TEC tokens in our wallets can only be expressed with excited gesticulations,Jan-21-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,because the thrill of seeing TEC tokens in our wallets can only be expressed with excited gesticulations,Jan-21-2022,🙏｜praise
elessar.eth#7945,Mount Manu#3530,because the thrill of seeing TEC tokens in our wallets can only be expressed with excited gesticulations,Jan-21-2022,🙏｜praise
bradleyc#3333,Mount Manu#3530,because the thrill of seeing TEC tokens in our wallets can only be expressed with excited gesticulations,Jan-21-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,because the thrill of seeing TEC tokens in our wallets can only be expressed with excited gesticulations,Jan-21-2022,🙏｜praise
Vitor Marthendal#0090,Mount Manu#3530,because the thrill of seeing TEC tokens in our wallets can only be expressed with excited gesticulations,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for all the progress they’ve had with the Rewards System dashboard and with the whole WG as whole,Jan-21-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for all the progress they’ve had with the Rewards System dashboard and with the whole WG as whole,Jan-21-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,for all the progress they’ve had with the Rewards System dashboard and with the whole WG as whole,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for all the progress they’ve had with the Rewards System dashboard and with the whole WG as whole,Jan-21-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for all the progress they’ve had with the Rewards System dashboard and with the whole WG as whole,Jan-21-2022,🙏｜praise
GideonRo#3175,Mount Manu#3530,for feedback on some content that the TEC is getting ready to publish,Jan-21-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for feedback on some content that the TEC is getting ready to publish,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for feedback on some content that the TEC is getting ready to publish,Jan-21-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,for feedback on some content that the TEC is getting ready to publish,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for their work around the Rewards System and its WG,Jan-21-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for their work around the Rewards System and its WG,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for their work around the Rewards System and its WG,Jan-21-2022,🙏｜praise
akrtws (TE Academy)#4246,Mount Manu#3530,for teaching people the Intro to TE course,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for teaching people the Intro to TE course,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for showing that vulnerability is also a strength and for being,Jan-21-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for the WG Weekly Update post on the forum,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for being a calming presence and organizing the voting procedures for the TEC,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,"for the leadership that you exhibit, day in and day out, for this community",Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for moving forward with the structure of the T.E.A.M. DAO as a service DAO within the TEC,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for the amazing TEA x TEC presentation he hosted,Jan-21-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for stepping up as a leader within the Hubspot team,Jan-21-2022,🙏｜praise
bends#3537,Mount Manu#3530,"for his presence and contributions to our community, specifically to the onboarding process",Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
elessar.eth#7945,Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
bradleyc#3333,Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
Vitor Marthendal#0090,Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for helping our DAO evolve into its next phase,Jan-21-2022,🙏｜praise
r33pich33p#6906,Mount Manu#3530,"for stepping up in so many ways, including his new role in the T.E.A.M. DAO",Jan-21-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,for being such an all-star with the onboarding of new members,Jan-21-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for all the knowledge that he shares with the community (with or without diagrams),Jan-21-2022,🙏｜praise
Ratio13#0578,Mount Manu#3530,for getting involved with the TEC,Jan-21-2022,🙏｜praise
Jeremy&TheGospelOfChange#8201,Mount Manu#3530,for getting involved with the TEC,Jan-21-2022,🙏｜praise
freshelle#9882,Mount Manu#3530,for all the work that she does in the background,Jan-21-2022,🙏｜praise
GideonRo#3175,Mount Manu#3530,"for the articles that they wrote, which will be coming out soon",Jan-21-2022,🙏｜praise
Letty#5399,Mount Manu#3530,"for the articles that they wrote, which will be coming out soon",Jan-21-2022,🙏｜praise
Jeremy&TheGospelOfChange#8201,Mount Manu#3530,for having Edu’s favorite nametag,Jan-21-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for joining our calls and providing support to people interested in the Cultural Build,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for always pushing through obstacles and for wrangling the new T.E.A.M. teams together into a cohesive force that moves in tandem,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
theoverarch#2871,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
MarioRozo#3294,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
Jeremy&TheGospelOfChange#8201,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
JonathanWein#4685,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
Ratio13#0578,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
"Christina, BorrowLucid#3036",Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
NomadChad#8883,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
tokenosopher#7900,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
Leen#8610,Mount Manu#3530,for joining our Orientation call this week,Jan-21-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for his support and for always being on-point with the MVV in our Orientation Calls,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for being so welcoming in Costa Rica (atte. Edu),Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for being so welcoming in Costa Rica (atte. Edu),Jan-21-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for being so welcoming in Costa Rica (atte. Edu),Jan-21-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for being so welcoming in Costa Rica (atte. Edu),Jan-21-2022,🙏｜praise
Dani Dos#6791,Mount Manu#3530,for being so welcoming in Costa Rica (atte. Edu),Jan-21-2022,🙏｜praise
kristofer#1475,divine_comedian#5493,for their contributions during the test trial quant and their clear explanations of how to praise,Jan-21-2022,🙏｜praise
liviade#1387,divine_comedian#5493,for their contributions during the test trial quant and their clear explanations of how to praise,Jan-21-2022,🙏｜praise
kristofer#1475,divine_comedian#5493,for their awesome work on the praise front-end,Jan-21-2022,🙏｜praise
Nebs#2035,divine_comedian#5493,for their awesome work on the praise front-end,Jan-21-2022,🙏｜praise
Vyvy-vi#5040,divine_comedian#5493,for his continual work for finding solutions to discord bots and gather objective reward system data,Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",divine_comedian#5493,for working overtime seeming all the time to get all the commons upgrade pieces deployed,Jan-21-2022,🙏｜praise
sem  🐝#0161,divine_comedian#5493,for working overtime seeming all the time to get all the commons upgrade pieces deployed,Jan-21-2022,🙏｜praise
elessar.eth#7945,divine_comedian#5493,for working overtime seeming all the time to get all the commons upgrade pieces deployed,Jan-21-2022,🙏｜praise
Nuggan#5183,divine_comedian#5493,for working overtime seeming all the time to get all the commons upgrade pieces deployed,Jan-21-2022,🙏｜praise
heater#9765,divine_comedian#5493,for facilitating an awesome talk this week on token engineering and the TEC,Jan-21-2022,🙏｜praise
Juankbell#7458,divine_comedian#5493,for facilitating an awesome talk this week on token engineering and the TEC,Jan-21-2022,🙏｜praise
ygg_anderson#4998,Mount Manu#3530,for the incredible cadCAD class that you gave recently,Jan-21-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for the consistency of your contributions,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
🐙 octopus#5508,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
MS#4235,Mount Manu#3530,for the contributions to the Rewards System and for this first Praise Quant,Jan-21-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for being on top of every process about the Commons Upgrade and for communicating to everyone with your usual enthusiasm,Jan-21-2022,🙏｜praise
heater#9765,Mount Manu#3530,for making the TE Academy / TEC call happen and be a success,Jan-21-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for making the TE Academy / TEC call happen and be a success,Jan-21-2022,🙏｜praise
akrtws (TE Academy)#4246,Mount Manu#3530,for making the TE Academy / TEC call happen and be a success,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for making the TE Academy / TEC call happen and be a success,Jan-21-2022,🙏｜praise
MS#4235,Mount Manu#3530,for making the TE Academy / TEC call happen and be a success,Jan-21-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for being a pillar of strength for this community and for always having the right thing to say,Jan-21-2022,🙏｜praise
MarioRozo#3294,Mount Manu#3530,for attending the animation & video production sync,Jan-21-2022,🙏｜praise
pab🐝🐙#6151,Mount Manu#3530,for attending the animation & video production sync,Jan-21-2022,🙏｜praise
alantv#0964,Mount Manu#3530,for attending the animation & video production sync,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for attending the animation & video production sync,Jan-21-2022,🙏｜praise
acidlazzer#5796,Mount Manu#3530,for attending the animation & video production sync,Jan-21-2022,🙏｜praise
MarioRozo#3294,Mount Manu#3530,for your progress on video production efforts,Jan-21-2022,🙏｜praise
johnjonas#2307,Mount Manu#3530,for your progress on video production efforts,Jan-21-2022,🙏｜praise
acidlazzer#5796,Mount Manu#3530,for your progress on video production efforts,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for organizing all the teams within T.E.A.M.,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for writing the first draft of a Rewards System article/document,Jan-21-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for doing an amazing job welcoming newcomers into the TEC,Jan-21-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,for being so friendly and warm in the Orientation calls that you host,Jan-21-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for being interested in participating in the activities that Gravity is planning for following months,Jan-22-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for being interested in participating in the activities that Gravity is planning for following months,Jan-22-2022,🙏｜praise
BiancaGadelha#2667,Mount Manu#3530,for being interested in participating in the activities that Gravity is planning for following months,Jan-22-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for being interested in participating in the activities that Gravity is planning for following months,Jan-22-2022,🙏｜praise
MorganicMovement 🍄#1085,Mount Manu#3530,for being interested in participating in the activities that Gravity is planning for following months,Jan-22-2022,🙏｜praise
Leen#8610,Mount Manu#3530,for being interested in participating in the activities that Gravity is planning for following months,Jan-22-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for being the spammer’s Charizard in our Telegram group,Jan-22-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for the Commons Upgrade,Jan-22-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for the Commons Upgrade,Jan-22-2022,🙏｜praise
elessar.eth#7945,Mount Manu#3530,for the Commons Upgrade,Jan-22-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for helping Juanka with some slides they both made together for a presentation,Jan-22-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for their work in the Rewards System WG,Jan-22-2022,🙏｜praise
mateodaza#3156,Mount Manu#3530,for their work in the Rewards System WG,Jan-22-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for their work in the Rewards System WG,Jan-22-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for their work in the Rewards System WG,Jan-22-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for the amazingly smooth launch of our Commons: we all have TEC tokens now and we’ve got to thank you for that,Jan-22-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for the amazingly smooth launch of our Commons: we all have TEC tokens now and we’ve got to thank you for that,Jan-22-2022,🙏｜praise
elessar.eth#7945,Mount Manu#3530,for the amazingly smooth launch of our Commons: we all have TEC tokens now and we’ve got to thank you for that,Jan-22-2022,🙏｜praise
bradleyc#3333,Mount Manu#3530,for the amazingly smooth launch of our Commons: we all have TEC tokens now and we’ve got to thank you for that,Jan-22-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for the amazingly smooth launch of our Commons: we all have TEC tokens now and we’ve got to thank you for that,Jan-22-2022,🙏｜praise
Vitor Marthendal#0090,Mount Manu#3530,for the amazingly smooth launch of our Commons: we all have TEC tokens now and we’ve got to thank you for that,Jan-22-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for the amazing retrospective call of this week,Jan-22-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for their work in Rewards,Jan-22-2022,🙏｜praise
